7.1.1.1,A,非テキストコンテンツに関する達成基準
7.1.2.1,A,収録済みの音声しか含まないメディア及び収録済みの映像しか含まないメディアに関する達成基準
7.1.2.2,A,収録済みの音声コンテンツのキャプションに関する達成基準
7.1.2.3,A,収録済みの映像コンテンツの代替コンテンツ又は音声ガイドに関する達成基準
7.1.3.1,A,情報及び関係性に関する達成基準
7.1.3.2,A,意味のある順序に関する達成基準
7.1.3.3,A,感覚的な特徴に関する達成基準
7.1.4.1,A,色の使用に関する達成基準
7.2.1.1,A,キーボード操作に関する達成基準
7.2.1.2,A,フォーカス移動に関する達成基準
7.2.2.1,A,調整可能な制限時間に関する達成基準
7.2.2.2,A,一時停止，停止及び非表示に関する達成基準
7.2.3.1,A,3回のせん（閃）光又はいき（閾）値以下に関する達成基準
7.2.4.1,A,ブロックスキップに関する達成基準
7.2.4.2,A,ページタイトルに関する達成基準
7.2.4.3,A,フォーカス順序に関する達成基準
7.2.4.4,A,文脈におけるリンクの目的に関する達成基準
7.3.1.1,A,ページの言語に関する達成基準
7.3.2.1,A,オンフォーカスに関する達成基準
7.3.2.2,A,ユーザインタフェースコンポーネントによる状況の変化に関する達成基準
7.3.3.1,A,入力エラー箇所の特定に関する達成基準
7.3.3.2,A,ラベル又は説明文に関する達成基準
7.4.1.1,A,構文解析に関する達成基準
7.4.1.2,A,プログラムが解釈可能な識別名，役割及び設定可能な値に関する達成基準
7.1.2.4,AA,ライブの音声コンテンツのキャプションに関する達成基準
7.1.2.5,AA,収録済みの映像コンテンツの音声ガイドに関する達成基準
7.1.4.3,AA,最低限のコントラストに関する達成基準
7.1.4.4,AA,テキストのサイズ変更に関する達成基準
7.1.4.5,AA,画像化された文字に関する達成基準
7.2.4.5,AA,複数の到達手段に関する達成基準
7.2.4.6,AA,見出し及びラベルに関する達成基準
7.2.4.7,AA,視覚的に認識可能なフォーカスに関する達成基準
7.3.1.2,AA,部分的に用いられている言語に関する達成基準
7.3.2.3,AA,一貫したナビゲーションに関する達成基準
7.3.2.4,AA,一貫した識別性に関する達成基準
7.3.3.3,AA,入力エラー修正方法の提示に関する達成基準
7.3.3.4,AA,法的義務，金銭的取引，データ変更及び回答送信のエラー回避に関する達成基準
7.1.2.6,AAA,収録済みの音声コンテンツの手話通訳に関する達成基準
7.1.2.7,AAA,収録済みの映像コンテンツの拡張した音声ガイドに関する達成基準
7.1.2.8,AAA,収録済みのメディアの代替コンテンツに関する達成基準
7.1.2.9,AAA,ライブの音声しか含まないコンテンツの代替コンテンツに関する達成基準
7.1.4.6,AAA,より十分なコントラストに関する達成基準
7.1.4.7,AAA,小さい背景音又は背景音なしに関する達成基準
7.1.4.8,AAA,視覚的な表現に関する達成基準
7.1.4.9,AAA,画像化された文字に関する例外のない達成基準
7.2.1.3,AAA,キーボード操作に関する例外のない達成基準
7.2.2.3,AAA,制限時間なしに関する達成基準
7.2.2.4,AAA,中断に関する達成基準
7.2.2.5,AAA,再認証に関する達成基準
7.2.3.2,AAA,3回のせん（閃）光に関する達成基準
7.2.4.8,AAA,現在位置に関する達成基準
7.2.4.9,AAA,リンクの目的に関する達成基準
7.2.4.10,AAA,セクション見出しに関する達成基準
7.3.1.3,AAA,一般的ではない用語に関する達成基準
7.3.1.4,AAA,略語に関する達成基準
7.3.1.5,AAA,読解レベルに関する達成基準
7.3.1.6,AAA,発音及び読み仮名に関する達成基準
7.3.2.5,AAA,利用者の要求による状況の変化に関する達成基準
7.3.3.5,AAA,ヘルプに関する達成基準
7.3.3.6,AAA,エラー回避に関する例外のない達成基準
